mot;frequence
  "Rouen";8
  "Paris";11
  "Yport";9
  "Adelaide";3
  "ILa";2
  "Normandie";5
  "E";21
  "Fecamp";6
  "VIE";51
  "etre";3
  "soleil";3
  "bosquet";3
  "vIE";9
  "Etouvent";3
  "G";5
  "II";12
  "I";67
  "gL";2
  "IIL";2
  "LI";5
  "LL";4
  "R";2
  "ii";3
  "Etretat";3
  "Grece";3
  "Corse";10
  "leau";2
  "Cest";5
  "Lison";7
  "Ia";12
  "aMais";2
  "uis";2
  "Allons";6
  "Marseille";2
  "hotel";2
  "P";2
  "UNE";3
  "NE VIE";10
  "Briseville";8
  "Coutelier";3
  "Fourville";3
  "epaule";2
  "pres";2
  "Ca";3
  "Llle";3
  "is";2
  "Ieanne";2
  "Voilh";3
  "Barville";4
  "M";2
  "ILLI";3
  "i";3
  "E1";2
  "HI";2
  "Iy";2
  "I1";2
  "S";4
  "nt";2
  "tantot";2
  "Lh";2
  "Poulet";14
  "le Havre";3
  "au Havre";2
  "Tolbiac";2
  "Londres";2
  "Goderville";3
  "plaees";2
  "rue du Sauvage";2
