mot;frequence
[  "Vauds";1
  "Hollande";1
  "Normande";1
  "mont Riboudet";1
  "\u00c9letot";1
  "Le soleil";1
  "Cigogne";1
  "Flamands";1
  "du Havre";1
  "hameau d'\u00c9touvent";1
  "phare de F\u00e9camp";1
  "Courville";1
  "Eretry";1
  "Touraine";1
  "Auvergne";1
  "Bassolle";1
  "Vrillette";1
  "Chambre-aux-Demoiselles";1
  "Italie";1
  "Suisse";1
  "Chinois";1
  "Lapons";1
  "Ath\u00e8nes";1
  "d'Italie";1
  "Versailles";1
  "Tiens";1
  "Retournons";1
  "Allons";1
  "Cana";1
  "Mignonne";1
  "Las";1
  "Naples";1
  "Ajaccio";1
  "La Corse";1
  "C\u00f4te";1
  "Provence";1
  "mer immobile";1
  "soleil";1
  "champagne";1
  "Midi";1
  "Sainte-H\u00e9l\u00e8ne";1
  "golfe de Sagone";1
  "Carg\u00e8se";1
  "Piana";1
  "Le Corse";1
  "Niolo";1
  "Val";1
  "petite Corse";1
  "Damas";1
  "val d'Ota";1
  "Bastia";1
  "Livourne";1
  "Florence";1
  "G\u00eanes";1
  "Corniche";1
  "Le Perthuis";1
  "Bolbec";1
  "Perret";1
  "Impatient\u00e9";1
  "Pierre-Simon-Paul";1
  "foss\u00e9 des Couillard";1
  "Normand";1
  "Topez";1
  "Mad\u00e8re";1
  "Reminil";1
  "Cany";1
  "manufacture de S\u00e8vres";1
  "Varneville";1
  "Rollebosc de Coutelier";1
  "D\u00e9cembre";1
  "Mars";1
  "Crotte";1
  "Cologne";1
  "X";1
  "Notre-Dame du Gros-Ventre";1
  "Quittez";1
  "Couillard";1
  "Tolbiac";1
  "Guettez";1
  "XI";1
  "Sicut";1
  "Laitues";1
  "Romaines";1
  "Chicor\u00e9es";1
  "Barbes-de-capucin";1
  "Royales";1
  "coll\u00e8ge du Havre";1
  "Allemagne";1
  "France";1
  "Saint-L\u00e9onard";1
  "Montivilliers";1
  "Chine";1
  "Verneuil";1
  "les Trois-Mares";1
  "Cit\u00e9";1
  "apportez-les-moi";1
  "rue du Havre";1
  "Palais";1
  "P";1
  "Oriental";1
  "Am\u00e9rique";1
  "L'Am\u00e9rique";1
  "Autrefois";1
  "Beuzeville"];1
