mot;frequence
  "Sacr\u00e9";2
  "Rouen";9
  "Paris";13
  "Yport";13
  "pays de Caux";2
  "Ad\u00e9la\u00efde";2
  "l'Empire";2
  "Normandie";3
  "F\u00e9camp";7
  "\u00c9touvent";3
  "Briseville";13
  "\u00c9tretat";5
  "Gr\u00e8ce";3
  "Corse";14
  "Angleterre";3
  "la France";2
  "Providence";2
  "R\u00e9pondez";2
  "Lison";3
  "Est";3
  "Marseille";3
  "l'Afrique";2
  "\u00c9visa";2
  "Ota";2
  "Coutelier";2
  "Fourville";2
  "Vauds";2
  "ch\u00e2teau des Peuples";2
  "M\u00e9diterran\u00e9e";3
  "Barville";4
  "Goderville";7
  "Vaucotte";2
  "Poulet";11
  "Le Havre";5
  "au Havre";3
  "Londres";2
  "Batteville";4
  "h\u00f4tel de Normandie";2
  "rue du Sauvage";3
