mot;frequence
[  "Vauds";1
  "VIFe";1
  "Hollande";1
  "LL";1
  "LAS";1
  "HR";1
  "Normande";1
  "pays de Caux";1
  "Gela";1
  "CT";1
  "Cigogne";1
  "RRO A";1
  "V\u2019";1
  "Etlentement";1
  "du Havre";1
  "\u00c9-";1
  "Bient\u00f4t";1
  "|\n\n \n\n \n\nor";1
  "UNE";1
  "phare de F\u00e9camp";1
  "Lomme";1
  "Asseyons";1
  "l'Empire";1
  "Cuitaux";1
  "Dites";1
  "Courville";1
  "Roche";1
  "Anglais";1
  "Bassolle";1
  "eAvIrons";1
  "Vrillette";1
  "L\u00c9";1
  "Chambre-aux-Demoiselles";1
  "Italie";1
  "Suisse";1
  "Ath\u00e8nes";1
  "Ille";1
  "Greilles";1
  "HE";1
  "bosquet";1
  "ns";1
  "d'Italie";1
  "|\n\n \n\n\u00ff Xi";1
  "UN\u00a3";1
  "Jampe";1
  "Lheure";1
  "nt";1
  "Cana";1
  "SOTk";1
  "Las";1
  "Allons";1
  "Naples";1
  "Ajaccio";1
  "C\u00f4te";1
  "Provence";1
  "mer immobile";1
  "soleil";1
  "Iles";1
  "Midi";1
  "Par-";1
  "Sainte-H\u00e9l\u00e8ne";1
  "golfe de Sagone";1
  "Carg\u00e8se";1
  "Piana";1
  "\u00c9visa";1
  "du Val";1
  "Join";1
  "Niolo";1
  "Val";1
  "Damas";1
  "Bastia";1
  "Livourne";1
  "Florence";1
  "G\u00e9-";1
  "Corniche";1
  "Jarmes";1
  "Aucun\u2018besoin";1
  "Coutelier \u2018\u00e9t";1
  "Leperthuis des Vauds";1
  "Bolbec";1
  "UN\u00c9";1
  "basques";1
  "sil";1
  "convuls\u00e9e";1
  "E";1
  "Gomment";1
  "\u00e9tat";1
  "Camp";1
  "perret";1
  "trois-six";1
  "M\u00e9-";1
  "VIE\n\n \n\n";1
  "Ci";1
  "u\u2019";1
  "jura";1
  "Impatient\u00e9";1
  "Ils\u2019";1
  "Ellene";1
  "\u00c6";1
  "\u00c7";1
  "Be";1
  "Je";1
  "Four-";1
  "our";1
  "UNE VIE";1
  "Croyez->ous";1
  "Pierre-Simon-Paul";1
  "R";1
  "Ct'";1
  "rd";1
  "R\u00e9pondez";1
  "Normand";1
  "Ieures";1
  "A84";1
  "Lac";1
  "Amazone";1
  "Mad\u00e8re";1
  "Reminil";1
  "Cany";1
  "manufacture de S\u00e8vres";1
  "Varneville";1
  "Rollebosc";1
  "Fe di";1
  "ILON";1
  "leil";1
  "gn\u00e9s";1
  "Crott";1
  "EH";1
  "tre";1
  "Cologne";1
  "l\u2019'emport\u00e2t";1
  "Er";1
  "OT\n\f\n";1
  "L\u2019'a-";1
  "Vauds";1
  "Enfi\u00f1";1
  "Notre-Dame du Gros-Ventre";1
  "Ha\u00eft";1
  "Quittez";1
  "F7";1
  "Couillard";1
  "Il'";1
  "\u00cfS";1
  "loir";1
  "J";1
  "Guettez-";1
  "orps";1
  "javelle";1
  "ca";1
  "ballottant";1
  "ES";1
  "Brise-";1
  "Coutelier";1
  "Es-";1
  "Impuret\u00e9";1
  "Sicut";1
  "Pontet";1
  "UNE VIE 265\n\n \n\n";1
  "Rom\u00e4ines";1
  "Chicor\u00e9es";1
  "Barbes de c\u00e4pucin";1
  "ales";1
  "estibles";1
  "Jet";1
  "coll\u00e8ge du Havre";1
  "Allemagne";1
  "Hieux";1
  "Angleterre";1
  "EURE";1
  "ViE";1
  "J1";1
  "1 Havre";1
  "Dela-";1
  "ucune";1
  "oo Lou";1
  "Angle-";1
  "leuse";1
  "ch\u00e9e";1
  "Gao";1
  "lille";1
  "Saint-L\u00e9onard";1
  "Batteville";1
  "VIE\n\n";1
  "sse de Chine";1
  "Dour HIT";1
  "\u00cfl";1
  "Ca";1
  "Batte-";1
  "Verneuil";1
  "Trois-Mares";1
  "Gequi";1
  "LUE L";1
  "H\u00f4tel de Normandie";1
  "Flle";1
  "Cit\u00e9";1
  "la Seine";1
  "rue du Sauvage";1
  "rue du Havre";1
  "Palais";1
  "Royal";1
  "Faven-";1
  "Ltortur\u00e9e";1
  "P";1
  "Oriental";1
  "Am\u00e9rique";1
  "L'Am\u00e9rique";1
  "Autrefois";1
  "Tousles contrevents\u00e9taientclos";1
  "NE";1
  "Jembris";1
  "Batteviile";1
  "PauL.";1
  "M\u00e2dame";1
  "Goder-";1
  "Beuzeville";1
  "VIE"];1
