mot;frequence
  "I";3
  "Sacr\u00e9";2
  "RE";2
  "|";7
  "Rouen";8
  "Paris";13
  "Yport";12
  "VIE";121
  "Ad\u00e9la\u00efde";3
  "Le soleil";2
  "F";3
  "Normandie";3
  "Oc\u00e9an";5
  "F\u00e9camp";6
  "\u00c9touvent";2
  "\u00celes";3
  "\u00c9tretat";3
  "Gr\u00e8ce";3
  "Corse";14
  "France";2
  "Providence";2
  "us";3
  "is";2
  "Lison";4
  "Est";2
  "ge";2
  "Marseille";3
  "Lys";2
  "Ota";2
  "val d'Ota";2
  "Briseville";9
  "Fourville";4
  "M\u00e9diterran\u00e9e";2
  "Barville";4
  "\u00c9";2
  "Ia";2
  "S";4
  "Fair";2
  "\u00cele";4
  "Tolbiac";6
  "Goderville";5
  "i";2
  "Vaucotte";2
  "Poulet";14
  "e Havre";2
  "le Havre";3
  "au Havre";2
  "Londres";2
  "Ell\u00e9";3
