## ADAM #######################

#Kraken
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 451       | 100     | 0.222     | 0.444  | 0.296 | 225     |
| All | 451       | 100     | 0.222     | 0.444  | 0.296 | 225     |

#TesseractFra
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 507       | 108     | 0.213     | 0.48   | 0.295 | 225     |
| All | 507       | 108     | 0.213     | 0.48   | 0.295 | 225     |

#Tesseract
| tag | predicted | matched | Precision | Recall | F1   | Support |
|-----|-----------|---------|-----------|--------|------|---------|
| LOC | 496       | 90      | 0.181     | 0.4    | 0.25 | 225     |
| All | 496       | 90      | 0.181     | 0.4    | 0.25 | 225     |



## AIMARD_RIVIERE #######################

#Kraken
| tag | predicted | matched | Precision | Recall | F1   | Support |
|-----|-----------|---------|-----------|--------|------|---------|
| LOC | 2286      | 512     | 0.224     | 0.506  | 0.31 | 1012    |
| All | 2286      | 512     | 0.224     | 0.506  | 0.31 | 1012    |

#TesseractFra
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 1776      | 620     | 0.349     | 0.613  | 0.445 | 1012    |
| All | 1776      | 620     | 0.349     | 0.613  | 0.445 | 1012    |

#Tesseract
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 2637      | 448     | 0.17      | 0.443  | 0.246 | 1012    |
| All | 2637      | 448     | 0.17      | 0.443  | 0.246 | 1012    |



## AIMARD_TRAPPEURS #######################

#Kraken
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 1516      | 289     | 0.191     | 0.423  | 0.263 | 684     |
| All | 1516      | 289     | 0.191     | 0.423  | 0.263 | 684     |

#TesseractFra
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 1313      | 323     | 0.246     | 0.472  | 0.323 | 684     |
| All | 1313      | 323     | 0.246     | 0.472  | 0.323 | 684     |

#Tesseract
| tag | predicted | matched | Precision | Recall | F1    | Support |
|-----|-----------|---------|-----------|--------|-------|---------|
| LOC | 1583      | 302     | 0.191     | 0.442  | 0.266 | 684     |
| All | 1583      | 302     | 0.191     | 0.442  | 0.266 | 684     |
